,text,is_question,label,first_word,indexed_start,question_start,last_four_chars,ends_with_ks,contains_ks,lower_start,upper_start,contains_prompt_word,starts_with_prompt_word,single_word
67,END OF SEMESTER EXAMINATION,0,tbd,end,0,0,TION,0,0,0,1,0,0,0
1356,for crude oil in country H has been estimated to be -0.06,0,tbd,for,0,0,0.06,0,0,1,0,0,0,0
327,179. Explain the key concepts of Mathematics. (1 Marks),1,Yes,179.,1,0,rks),1,1,0,0,1,1,0
1141,172. Explain the key concepts of Biology. (2 Marks),1,Yes,172.,1,0,rks),1,1,0,0,1,1,0
1652,Quantum mechanics explores particles at the smallest scales ks),0,no,quantum,0,0, ks),1,1,0,1,0,0,0
254,Gravity affects the motion of objects on Earth rks),0,no,gravity,0,0,rks),1,1,0,1,0,0,0
1361,j) Compare the key concepts of Biology. (2 Marks),1,Yes,j),1,0,rks),1,1,1,0,1,1,0
615,They went for a long hike in the mountains. The painting was a masterpiece of color and emotion.,0,No,they,0,0,ion.,0,0,0,1,0,0,0
1378,XXI) Explain the key concepts of Economics. (9 Marks),1,Yes,xxi),0,0,rks),1,1,0,1,1,1,0
683,Technology is evolving at a rapid pace. They went for a long hike in the mountains.,0,No,technology,0,0,ins.,0,0,0,1,0,0,0
1344,SECTION A: Attempt ALL questions in this section,0,tbd,section,0,0,tion,0,0,0,1,0,0,0
1347,c) What activities of the church in Kenya show that the Holy Spirit is working among them? (5 Marks),1,tbd,c),1,0,rks),1,1,1,0,1,1,0
29,The painting was a masterpiece of color and emotion. He cooked a delicious meal for dinner.,0,No,the,0,0,ner.,0,0,0,1,0,0,0
1128,"(d) In the context of financial markets, distinguish betwee informational efficiency. (4 Marks)",1,tbd,(d),1,0,rks),1,1,0,0,0,0,0
1718,He cooked a delicious meal for dinner. They went for a long hike in the mountains.,0,No,he,0,0,ins.,0,0,0,1,0,0,0
137,Music has a way of bringing people together. Music has a way of bringing people together.,0,No,music,0,0,her.,0,0,0,1,0,0,0
656,LXII) Define the key concepts of Biology. (9 Marks),1,Yes,lxii),0,0,rks),1,1,0,1,1,1,0
1658,XXIX) Discuss the key concepts of Biology. (6 Marks),1,Yes,xxix),0,0,rks),1,1,0,1,1,1,0
686,124. Summarize the key concepts of Science. (4 Marks),1,Yes,124.,1,0,rks),1,1,0,0,0,0,0
1681,115. Describe the key concepts of Literature. (5 Marks),1,Yes,115.,1,0,rks),1,1,0,0,1,1,0
1462,86. Explain the key concepts of Economics. (3 Marks),1,Yes,86.,1,0,rks),1,1,0,0,1,1,0
1502,LVI) Describe the key concepts of Physics. (1 Marks),1,Yes,lvi),0,0,rks),1,1,0,1,1,1,0
1318,184. Analyze the key concepts of Geography. (8 Marks),1,Yes,184.,1,0,rks),1,1,0,0,1,1,0
559,The painting was a masterpiece of color and emotion. Technology is evolving at a rapid pace.,0,No,the,0,0,ace.,0,0,0,1,0,0,0
1604,24) Describe an important concept in Business Studies and its significance. (9 marks),1,yes,24),0,0,rks),1,1,0,0,1,1,0
386,io Maseno School Mock Committee 2023 co :,0,tbd,io,0,0,co :,0,0,1,0,0,0,0
175,The cat sat on the mat. She enjoys reading books in her free time.,0,No,the,0,0,ime.,0,0,0,1,0,0,0
111,It was a sunny day in Paris. Technology is evolving at a rapid pace.,0,No,it,0,0,ace.,0,0,0,1,0,0,0
575,LXXXI) Compare the key concepts of Economics. (8 Marks),1,Yes,lxxxi),0,0,rks),1,1,0,1,1,1,0
539,25) Describe an important concept in Environmental Science and its significance. (5 marks),1,yes,25),0,0,rks),1,1,0,0,1,1,0
1613,The painting was a masterpiece of color and emotion. She enjoys reading books in her free time.,0,No,the,0,0,ime.,0,0,0,1,0,0,0
1034,XLVIII) Outline the key concepts of Physics. (9 Marks),1,Yes,xlviii),0,0,rks),1,1,0,1,0,0,0
871,Information related to Physics that does not ask for a response.,0,no,information,0,0,nse.,0,0,0,1,1,0,0
242,Music has a way of bringing people together. They went for a long hike in the mountains.,0,No,music,0,0,ins.,0,0,0,1,0,0,0
113,He cooked a delicious meal for dinner. The cat sat on the mat.,0,No,he,0,0,mat.,0,0,0,1,0,0,0
1669,The key concepts of Physics. (3 Marks),0,no,the,0,0,rks),1,1,0,1,0,0,0
955,XCV) Compare the key concepts of Physics. (4 Marks),1,Yes,xcv),0,0,rks),1,1,0,1,1,1,0
594,Music has a way of bringing people together. He cooked a delicious meal for dinner.,0,No,music,0,0,ner.,0,0,0,1,0,0,0
824,Music has a way of bringing people together. Technology is evolving at a rapid pace.,0,No,music,0,0,ace.,0,0,0,1,0,0,0
23,Information related to Physics that does not ask for a response.,0,no,information,0,0,nse.,0,0,0,1,1,0,0
1576,General statement about Astronomy with no specific question or query.,0,no,general,0,0,ery.,0,0,0,1,0,0,0
1798,Cells are the basic building blocks of all organisms rks,0,no,cells,0,0, rks,0,0,0,1,0,0,0
1263,TIME: 2 Hours 2021 a,0,tbd,time:,0,0,21 a,0,0,0,1,0,0,0
522,16) Describe an important concept in Art and its significance. (7 marks),1,yes,16),0,0,rks),1,1,0,0,1,1,0
433,Algebra is essential for solving equations mks and inequalities,0,no,algebra,0,0,ties,0,0,0,1,0,0,0
659,They went for a long hike in the mountains. The painting was a masterpiece of color and emotion.,0,No,they,0,0,ion.,0,0,0,1,0,0,0
334,The cat sat on the mat. She enjoys reading books in her free time.,0,No,the,0,0,ime.,0,0,0,1,0,0,0
191,18. Explain the key concepts of Science. (4 Marks),1,Yes,18.,1,0,rks),1,1,0,0,1,1,0
1734,Min: -TERMEN ERNMENT PAPER 2 iby Me “wc ‘Gentity any two classifications of written sources of information on History and,0,tbd,min:,0,0, and,0,0,0,1,0,0,0
387,She enjoys reading books in her free time. The painting was a masterpiece of color and emotion.,0,No,she,0,0,ion.,0,0,0,1,0,0,0
442,Black holes are regions of space with strong gravity rks,0,no,black,0,0, rks,0,0,0,1,0,0,0
1784,Black holes are regions of space with strong rks gravity,0,no,black,0,0,vity,0,0,0,1,0,0,0
595,The painting was a masterpiece of color and emotion. Technology is evolving at a rapid pace.,0,No,the,0,0,ace.,0,0,0,1,0,0,0
213,"b) Write a program in C programming language that allows a user to input a whole number of X in main program and uses two user defined functions name, square() to compute the square of the number X and cube() to compute the cube of X, then veer the X, result of the square and cube in the main program. Use if() to select each subprogram at a time to execute. ; (10 Marks)",1,tbd,b),1,0,rks),1,1,1,0,1,1,0
223,DSA 8105: FUNDAMENTAL ¢ ONCEPTS IN FINANCE AND ECONOMICS,0,tbd,dsa,0,0,MICS,0,0,0,1,0,0,0
206,LXX) Summarize the key concepts of Literature. (7 Marks),1,Yes,lxx),0,0,rks),1,1,0,1,0,0,0
443,LXXXIV) Summarize the key concepts of Geography. (10 Marks),1,Yes,lxxxiv),0,0,rks),1,1,0,1,0,0,0
1628,She enjoys reading books in her free time. It was a sunny day in Paris.,0,No,she,0,0,ris.,0,0,0,1,0,0,0
1526,QUESTION ONE (20 MARKS),0,tbd,question,0,1,RKS),0,0,0,1,0,0,0
1750,The speed of light is constant in vacuum mks),0,no,the,0,0,mks),1,1,0,1,0,0,0
587,60) Describe an important concept in Philosophy and its significance. (5 marks),1,yes,60),0,0,rks),1,1,0,0,1,1,0
1742,LXIII) Discuss the key concepts of Biology. (6 Marks),1,Yes,lxiii),0,0,rks),1,1,0,1,1,1,0
487,r) Explain the key concepts of Geography. (9 Marks),1,Yes,r),1,0,rks),1,1,1,0,1,1,0
1257,They went for a long hike in the mountains. Music has a way of bringing people together.,0,No,they,0,0,her.,0,0,0,1,0,0,0
789,84. Analyze the key concepts of Literature. (3 Marks),1,Yes,84.,1,0,rks),1,1,0,0,1,1,0
485,lization in Kenya since independence. (1Omarks),1,tbd,lization,0,0,rks),1,1,1,0,0,0,0
518,Music has a way of bringing people together. They went for a long hike in the mountains.,0,No,music,0,0,ins.,0,0,0,1,0,0,0
956,The painting was a masterpiece of color and emotion. It was a sunny day in Paris.,0,No,the,0,0,ris.,0,0,0,1,0,0,0
975,"b) Write a C program that that has three subprograms, first subprogram to input a list of 18 customers names as string and ; deposit as number with decimal point, second subprogram to compute sum of the deposit of all customers and third ubprogram to display the list the 18 customers names and deposit, and sum of deposits. (11 Marks)",1,tbd,b),1,0,rks),1,1,1,0,1,1,0
616,22) Describe an important concept in Health Education and its significance. (4 marks),1,yes,22),0,0,rks),1,1,0,0,1,1,0
809,MASTER OF SCIENCE IN DATA SCIENCE AND ANALYTICS,0,tbd,master,0,0,TICS,0,0,0,1,0,0,0
531,This examination consists of FIVE questions.,0,tbd,this,0,0,ons.,0,0,0,1,0,0,0
774,42) Describe an important concept in Art and its significance. (6 marks),1,yes,42),0,0,rks),1,1,0,0,1,1,0
603,They went for a long hike in the mountains. They went for a long hike in the mountains.,0,No,they,0,0,ins.,0,0,0,1,0,0,0
117,m) Discuss the key concepts of Physics. (3 Marks),1,Yes,m),1,0,rks),1,1,1,0,1,1,0
510,75) Describe an important concept in Computer Science and its significance. (6 marks),1,yes,75),0,0,rks),1,1,0,0,1,1,0
548,Strathmore,0,No,strathmore,0,0,more,0,0,0,1,0,0,1
353,"Geometry ks) involves studying shapes, sizes, and their properties",0,no,geometry,0,0,ties,0,1,0,1,0,0,0
1395,He cooked a delicious meal for dinner. He cooked a delicious meal for dinner.,0,No,he,0,0,ner.,0,0,0,1,0,0,0
1726,XX) Describe the key concepts of History. (4 Marks),1,Yes,xx),0,0,rks),1,1,0,1,1,1,0
1760,Genetic diversity stems from mutations ks) during reproduction,0,no,genetic,0,0,tion,0,1,0,1,0,0,0
1057,141. Summarize the key concepts of Geography. (1 Marks),1,Yes,141.,1,0,rks),1,1,0,0,0,0,0
1209,The speed of light is constant in vacuum mks),0,no,the,0,0,mks),1,1,0,1,0,0,0
278,He cooked a delicious meal for dinner. Technology is evolving at a rapid pace.,0,No,he,0,0,ace.,0,0,0,1,0,0,0
347,Faith practices can vary significantly across denominations ks,0,no,faith,0,0,s ks,0,0,0,1,0,0,0
1785,(b) Discuss FIVE ways of positive living with HIV/AIDs [10Mks] lifestyle factors that contribute to many of such health problems? [10Mks],1,tbd,(b),1,0,Mks],1,1,0,0,1,1,0
1224,Industrial Revolution sparked major urban demographic shifts mks),0,no,industrial,0,0,mks),1,1,0,1,0,0,0
717,Page 1 of 4,0,tbd,page,0,0,of 4,0,0,0,1,0,0,0
345,Explain Mathematical proofs are crucial for verifying truths ks),0,no,explain,0,0, ks),1,1,0,1,1,1,0
1204,General statement about Astronomy with no specific question or query.,0,no,general,0,0,ery.,0,0,0,1,0,0,0
486,It was a sunny day in Paris. They went for a long hike in the mountains.,0,No,it,0,0,ins.,0,0,0,1,0,0,0
893,Ecosystems depend on balancing competing species interactions rks),0,no,ecosystems,0,0,rks),1,1,0,1,0,0,0
335,The painting was a masterpiece of color and emotion. He cooked a delicious meal for dinner.,0,No,the,0,0,ner.,0,0,0,1,0,0,0
1173,19. Outline the key concepts of Biology. (5 Marks),1,Yes,19.,1,0,rks),1,1,0,0,0,0,0
126,54) Describe an important concept in Geography and its significance. (6 marks),1,yes,54),0,0,rks),1,1,0,0,1,1,0
547,He cooked a delicious meal for dinner. Technology is evolving at a rapid pace.,0,No,he,0,0,ace.,0,0,0,1,0,0,0
1131,An interesting fact about Psychology without a request for further explanation.,0,no,an,0,0,ion.,0,0,0,1,0,0,0
50,The speed of light is constant in vacuum mks),0,no,the,0,0,mks),1,1,0,1,0,0,0
1219,Viruses are not considered living organisms by all rks,0,no,viruses,0,0, rks,0,0,0,1,0,0,0
430,XVII) Outline the key concepts of Mathematics. (3 Marks),1,Yes,xvii),0,0,rks),1,1,0,1,0,0,0
706,c) HBw do churches discipline those who cause disunity in the church today? (© Marks),1,tbd,c),1,0,rks),1,1,1,0,1,0,0
1168,f) Compare the key concepts of Economics. (6 Marks),1,Yes,f),1,0,rks),1,1,1,0,1,1,0
1786,145. Discuss the key concepts of Mathematics. (2 Marks),1,Yes,145.,1,0,rks),1,1,0,0,1,1,0
899,Gravity affects the motion of objects on Earth ks,0,no,gravity,0,0,h ks,0,0,0,1,0,0,0
1172,The Roman Empire influenced modern governmental structures rks),0,no,the,0,0,rks),1,1,0,1,0,0,0
1520,87) Describe an important concept in Science and its significance. (7 marks),1,yes,87),0,0,rks),1,1,0,0,1,1,0
1796,She enjoys reading books in her free time. The painting was a masterpiece of color and emotion.,0,No,she,0,0,ion.,0,0,0,1,0,0,0
1216,34) Describe an important concept in Biology and its significance. (6 marks),1,yes,34),0,0,rks),1,1,0,0,1,1,0
1774,79) Describe an important concept in Geography and its significance. (9 marks),1,yes,79),0,0,rks),1,1,0,0,1,1,0
236,Dy,0,tbd,dy,0,0,Dy,0,0,0,1,0,0,1
80,14) Describe an important concept in World Religions and its significance. (7 marks),1,yes,14),0,0,rks),1,1,0,0,1,1,0
888,". Analyze the 2 limitations of different machine learning algorithms (such as decision trees, neural networks, and support vector machines) in predicting credit default risk (4 marks)",1,tbd,.,0,0,rks),1,1,0,0,1,1,0
619,"Geometry rks involves studying shapes, sizes, and their properties",0,no,geometry,0,0,ties,0,0,0,1,0,0,0
418,"""Risk identification forms the foundation of comprehensive risk management. Given the evolution of risks in the modern global context, including technological, environmental, and geopolitical risks, traditional risk identification methods may need to be supplemented or rethought.”",1,tbd,"""risk",0,0,ht.”,0,0,0,0,1,0,0
75,SECTION B: Answer any TWO questions in this section,0,tbd,section,0,0,tion,0,0,0,1,0,0,0
625,Technology is evolving at a rapid pace. Technology is evolving at a rapid pace.,0,No,technology,0,0,ace.,0,0,0,1,0,0,0
71,Information related to Physics that does not ask for a response.,0,no,information,0,0,nse.,0,0,0,1,1,0,0
1616,"4) Critically assess the benefits and criticisms of regulatory frameworks for banks and insurance companies. Use contemporary examples to illustrate your points and focus on the effects of recent changes in regulatory expectations, such as the increased focus on individual accountability and documentation. (8 marks)",1,yes,4),0,0,rks),1,1,0,0,1,0,0
1326,22. a) Give three conditions a ps (12 marks),1,tbd,22.,1,0,rks),1,1,0,0,1,0,0
792,An interesting fact about Psychology without a request for further explanation.,0,no,an,0,0,ion.,0,0,0,1,0,0,0
784,Mathematical proofs ks) are crucial for verifying truths,0,no,mathematical,0,0,uths,0,1,0,1,0,0,0
1763,(c) Briefly explain why a supply shock leads to stagflation. (3 Marks),1,tbd,(c),1,0,rks),1,1,0,0,1,0,0
454,Ibs This examination consists of FIVE questions. 2s Answer Question ONE (COMPULSORY) and any other Two ques e,0,tbd,ibs,0,0,es e,0,0,0,1,0,0,0
852,The painting was a masterpiece of color and emotion. It was a sunny day in Paris.,0,No,the,0,0,ris.,0,0,0,1,0,0,0
851,23) Describe an important concept in Economics and its significance. (6 marks),1,yes,23),0,0,rks),1,1,0,0,1,1,0
874,36) Describe an important concept in Music and its significance. (9 marks),1,yes,36),0,0,rks),1,1,0,0,1,1,0
856,She enjoys reading books in her free time. She enjoys reading books in her free time.,0,No,she,0,0,ime.,0,0,0,1,0,0,0
1270,132. Analyze the key concepts of Mathematics. (3 Marks),1,Yes,132.,1,0,rks),1,1,0,0,1,1,0
78,Technology is evolving at a rapid pace. Music has a way of bringing people together.,0,No,technology,0,0,her.,0,0,0,1,0,0,0
1514,(b) The price elasticity of demand _0.45 in the long run. Why would the demand for crude oil be price in the short-run and (3 Marks),1,tbd,(b),1,0,rks),1,1,0,0,1,0,0
944,"(a) For each of the following scenarios, use a supply and demand diagram to illustrate the effect of a given shock on the equilibrium price and quantity u in the specified competitive market. Explain whether there is a shift in the demand curve, the supply, or neither i) An unexpected temporary heat wave hits the South Coast. Show the effect in the ice cream market in Mombasa. (3 Marks)",1,tbd,(a),1,0,rks),1,1,0,0,1,0,0
1530,4. a) State four differences between traditional African prophets and the Old Testament prophets. 5: (8 mks),1,tbd,4.,1,0,mks),1,1,0,0,0,0,0
1294,END OF SEMESTER EXAMINATION,0,tbd,end,0,0,TION,0,0,0,1,0,0,0
787,Music has a way of bringing people together. The painting was a masterpiece of color and emotion.,0,No,music,0,0,ion.,0,0,0,1,0,0,0
1370,86) Describe an important concept in Art and its significance. (7 marks),1,yes,86),0,0,rks),1,1,0,0,1,1,0
1334,(a) Describe FIVE Goals of Antiretroviral therapy in HIV/AIDS treatments [10Mks],1,tbd,(a),1,0,Mks],1,1,0,0,1,1,0
707,XCIV) Analyze the key concepts of Biology. (8 Marks),1,Yes,xciv),0,0,rks),1,1,0,1,1,1,0
1247,UNIVERSITY,0,No,university,0,0,SITY,0,0,0,1,0,0,1
711,20. Define the key concepts of Science. (8 Marks),1,Yes,20.,1,0,rks),1,1,0,0,1,1,0
1328,Lacy gues poser cay te sulatory expectatic,0,tbd,lacy,0,0,atic,0,0,0,1,0,0,0
30,It was a sunny day in Paris. Technology is evolving at a rapid pace.,0,No,it,0,0,ace.,0,0,0,1,0,0,0
1327,b) Give six reasons why sacrifices were made in Traditional African communities. (6 mks),1,yes,b),1,0,mks),1,1,1,0,1,1,0
1472,Technology is evolving at a rapid pace. They went for a long hike in the mountains.,0,No,technology,0,0,ins.,0,0,0,1,0,0,0
1644,World War II reshaped global ks) power dynamics significantly,0,no,world,0,0,ntly,0,1,0,1,0,0,0
371,elastic in the long run than in the short run? Briefly explain.,1,tbd,elastic,0,0,ain.,0,0,1,0,1,0,0
412,DATE: 6% September 2021,0,tbd,date:,0,0,2021,0,0,0,1,0,0,0
1036,"""Risk identification forms the foundation of comprehensive risk management. Given the evolution of risks in the modern global context, including technological, environmental, and geopolitical risks, traditional risk identification methods may need to be supplemented or rethought.”",1,tbd,"""risk",0,0,ht.”,0,0,0,0,1,0,0
1403,An interesting fact about Psychology without a request for further explanation.,0,no,an,0,0,ion.,0,0,0,1,0,0,0
1420,Technology is evolving at a rapid pace. Music has a way of bringing people together.,0,No,technology,0,0,her.,0,0,0,1,0,0,0
101,77. Compare the key concepts of Geography. (5 Marks),1,Yes,77.,1,0,rks),1,1,0,0,1,1,0
1152,119. Describe the key concepts of Economics. (1 Marks),1,Yes,119.,1,0,rks),1,1,0,0,1,1,0
1115,194. Compare the key concepts of Biology. (1 Marks),1,Yes,194.,1,0,rks),1,1,0,0,1,1,0
1646,Time: 2.5 Hours a eee ey,0,tbd,time:,0,0,e ey,0,0,0,1,0,0,0
1096,Information related to Physics that does not ask for a response.,0,no,information,0,0,nse.,0,0,0,1,1,0,0
862,40. Give aaa reaty which marked the colonial sphere of influence in East Africa in 1886. (1 mark),1,tbd,40.,1,0,ark),0,0,0,0,1,1,0
794,92. Explain the key concepts of Geography. (1 Marks),1,Yes,92.,1,0,rks),1,1,0,0,1,1,0
170,QUESTION ONE (20 MARKS),0,tbd,question,0,1,RKS),0,0,0,1,0,0,0
949,12) Describe an important concept in Philosophy and its significance. (5 marks),1,yes,12),0,0,rks),1,1,0,0,1,1,0
215,e) Explain the key concepts of Physics. (10 Marks),1,Yes,e),1,0,rks),1,1,1,0,1,1,0
1553,"DATE: 17"" July 2022",0,tbd,date:,0,0,2022,0,0,0,1,0,0,0
1050,The painting was a masterpiece of color and emotion. The cat sat on the mat.,0,No,the,0,0,mat.,0,0,0,1,0,0,0
1736,Gent te et consent edn ye (1 mark),1,tbd,gent,0,0,ark),0,0,0,1,0,0,0
484,"DATE: 17"" July 2022",0,tbd,date:,0,0,2022,0,0,0,1,0,0,0
1602,Music has a way of bringing people together. Music has a way of bringing people together.,0,No,music,0,0,her.,0,0,0,1,0,0,0
1448,g) Explain the key concepts of Literature. (1 Marks),1,Yes,g),1,0,rks),1,1,1,0,1,1,0
1755,83. Outline the key concepts of Economics. (2 Marks),1,Yes,83.,1,0,rks),1,1,0,0,0,0,0
32,XLIV) Summarize the key concepts of Geography. (6 Marks),1,Yes,xliv),0,0,rks),1,1,0,1,0,0,0
924,Instructions &,0,tbd,instructions,0,0,ns &,0,0,0,1,0,0,0
1171,(ii) What is the most money you can make on this investment over the next year? {2 marks},1,tbd,(ii),1,0,rks},1,1,0,0,1,1,0
424,oy a) Narrate the transfiguration of Jesus. (8 mks),1,tbd,oy,0,0,mks),1,1,1,0,0,0,0
1450,54. Discuss the key concepts of History. (1 Marks),1,Yes,54.,1,0,rks),1,1,0,0,1,1,0
1195,DSA 8105: FUNDAMENTAL CONCEPTS IN FINANCE AND ECONOMICS,0,tbd,dsa,0,0,MICS,0,0,0,1,0,0,0
1312,Instructions,0,tbd,instructions,0,0,ions,0,0,0,1,0,0,1
910,j) Outline the key concepts of Economics. (10 Marks),1,Yes,j),1,0,rks),1,1,1,0,0,0,0
188,Algebra is essential for solving equations and inequalities ks,0,no,algebra,0,0,s ks,0,0,0,1,0,0,0
969,Religious conflicts have shaped political landscapes historically rks),0,no,religious,0,0,rks),1,1,0,1,0,0,0
1549,It was a sunny day in Paris. Technology is evolving at a rapid pace.,0,No,it,0,0,ace.,0,0,0,1,0,0,0
273,XXVI) Compare the key concepts of Literature. (10 Marks),1,Yes,xxvi),0,0,rks),1,1,0,1,1,1,0
45,XCVIII) Analyze the key concepts of Science. (6 Marks),1,Yes,xcviii),0,0,rks),1,1,0,1,1,1,0
375,It was a sunny day in Paris. She enjoys reading books in her free time.,0,No,it,0,0,ime.,0,0,0,1,0,0,0
588,Information related to Physics that does not ask for a response.,0,no,information,0,0,nse.,0,0,0,1,1,0,0
948,Energy conservation is ks) a fundamental concept in physics,0,no,energy,0,0,sics,0,1,0,1,0,0,0
825,Christian teachings often emphasize forgiveness and redemption rks,0,no,christian,0,0, rks,0,0,0,1,1,0,0
199,The Roman Empire influenced modern governmental rks structures,0,no,the,0,0,ures,0,0,0,1,0,0,0
905,Quantum mechanics explores particles at the smallest scales mks,0,no,quantum,0,0, mks,0,0,0,1,0,0,0
1014,Time: 2.5 Hours,0,tbd,time:,0,0,ours,0,0,0,1,0,0,0
240,An interesting fact about Psychology without a request for further explanation.,0,no,an,0,0,ion.,0,0,0,1,0,0,0
61,The cat sat on the mat. Music has a way of bringing people together.,0,No,the,0,0,her.,0,0,0,1,0,0,0
1234,Information related to Physics that does not ask for a response.,0,no,information,0,0,nse.,0,0,0,1,1,0,0
402,b) Explain the key concepts of Physics. (5 Marks),1,Yes,b),1,0,rks),1,1,1,0,1,1,0
995,The cat sat on the mat. It was a sunny day in Paris.,0,No,the,0,0,ris.,0,0,0,1,0,0,0
1477,z) Define the key concepts of Geography. (6 Marks),1,Yes,z),1,0,rks),1,1,1,0,1,1,0
369,77) Describe an important concept in Science and its significance. (4 marks),1,yes,77),0,0,rks),1,1,0,0,1,1,0
1569,h) Compare the key concepts of Biology. (10 Marks),1,Yes,h),1,0,rks),1,1,1,0,1,1,0
310,q) Summarize the key concepts of History. (10 Marks),1,Yes,q),1,0,rks),1,1,1,0,0,0,0
